hash value,amount of strings
0,115
1,84
2,86
3,51
4,60
5,62
6,64
7,102
8,104
9,61
10,55
11,53
12,46
13,82
14,77
15,74
16,86
17,92
18,63
19,55
20,60
21,57
22,78
23,74
24,94
25,67
26,55
27,57
28,61
29,95
30,78
31,82
32,76
33,83
34,59
35,55
36,65
37,43
38,71
39,88
40,84
41,77
42,74
43,48
44,55
45,93
46,86
47,78
48,103
49,78
50,66
51,59
52,69
53,69
54,86
55,87
56,97
57,88
58,76
59,60
60,58
61,85
62,73
63,52
64,89
65,87
66,87
67,69
68,63
69,52
70,84
71,100
72,92
73,68
74,60
75,48
76,51
77,73
78,59
79,71
80,79
81,99
82,66
83,89
84,62
85,62
86,75
87,102
88,94
89,97
90,75
91,48
92,57
93,74
94,82
95,91
96,87
97,86
98,76
99,66
100,62
101,57
102,67
103,81
104,72
105,94
106,87
107,52
108,63
109,52
110,68
111,65
112,99
113,123
114,50
115,52
116,73
117,58
118,80
119,93
120,72
121,80
122,101
123,56
124,60
125,62
126,51
127,71
128,89
129,80
130,65
131,52
132,74
133,64
134,81
135,85
136,76
137,95
138,69
139,48
140,55
141,75
142,59
143,85
144,76
145,101
146,73
147,65
148,57
149,82
150,81
151,70
152,88
153,76
154,68
155,54
156,52
157,81
158,65
159,74
160,87
161,77
162,73
163,56
164,46
165,54
166,75
167,57
168,87
169,77
170,76
171,54
172,47
173,64
174,73
175,64
176,82
177,95
178,61
179,64
180,72
181,70
182,83
183,64
184,68
185,89
186,69
187,64
188,35
189,61
190,67
191,81
192,90
193,71
194,64
195,80
196,78
197,73
198,65
199,65
200,69
201,96
202,79
203,62
204,63
205,69
206,70
207,76
208,78
209,109
210,94
211,81
212,69
213,65
214,62
215,66
216,72
217,123
218,94
219,51
220,62
221,71
222,48
223,80
224,76
225,75
226,88
227,75
228,62
229,48
230,72
231,60
232,91
233,106
234,67
235,52
236,41
237,72
238,51
239,79
240,74
241,76
242,106
243,69
244,71
245,65
246,72
247,69
248,82
249,91
250,76
251,50
252,48
253,90
254,63
255,79
256,76
257,109
258,69
259,88
260,65
261,53
262,53
263,66
264,92
265,100
266,78
267,49
268,63
269,74
270,58
271,70
272,77
273,83
274,76
275,101
276,68
277,65
278,63
279,60
280,81
281,100
282,63
283,88
284,68
285,58
286,60
287,63
288,78
289,75
290,73
291,121
292,76
293,72
294,59
295,59
296,87
297,88
298,86
299,52
300,59
301,75
302,50
303,67
304,82
305,76
306,77
307,115
308,70
309,83
310,67
311,55
312,69
313,100
314,88
315,65
316,107
317,70
318,66
319,60
320,53
321,78
322,86
323,84
324,46
325,48
326,63
327,67
328,90
329,93
330,66
331,44
332,90
333,73
334,45
335,66
336,70
337,85
338,97
339,83
340,59
341,64
342,92
343,73
344,79
345,92
346,63
347,63
348,94
349,73
350,59
351,52
352,71
353,74
354,75
355,78
356,68
357,78
358,80
359,56
360,119
361,108
362,82
363,86
364,77
365,54
366,39
367,43
368,76
369,85
370,113
371,108
372,69
373,76
374,86
375,60
376,69
377,76
378,59
379,82
380,86
381,55
382,75
383,69
384,58
385,73
386,89
387,102
388,81
389,72
390,63
391,62
392,76
393,77
394,75
395,69
396,76
397,65
398,53
399,52
400,59
401,68
402,91
403,107
404,63
405,70
406,64
407,54
408,78
409,364
410,68
411,69
412,102
413,71
414,58
415,56
416,48
417,71
418,108
419,74
420,62
421,69
422,57
423,61
424,76
425,116
426,76
427,70
428,85
429,53
430,41
431,50
432,51
433,91
434,88
435,90
436,68
437,73
438,71
439,48
440,75
441,93
442,62
443,92
444,86
445,73
446,57
447,41
448,56
449,85
450,88
451,64
452,66
453,98
454,77
455,51
456,74
457,61
458,82
459,79
460,78
461,86
462,65
463,72
464,65
465,85
466,82
467,91
468,67
469,88
470,59
471,52
472,69
473,65
474,64
475,93
476,60
477,62
478,60
479,64
480,53
481,67
482,103
483,81
484,73
485,80
486,151
487,41
488,71
489,70
490,59
491,104
492,88
493,69
494,54
495,52
496,48
497,82
498,92
499,57
